Data,Produto,Quantidade,Valor_Unitario
2022-02-16,Vestido Longo,69.0,75.0
2022-05-02,Camiseta Estampada,,345.0
2022-01-31,Camisa,22.0,184.0
2022-12-29,Macacão,93.0,249.0
2022-03-19,Óculos,,245.0
2022-12-29,Camisa Social,75.0,370.0
2022-01-08,Jaqueta,,
2022-02-12,Camisa Polo,38.0,355.0
2022-11-12,Suéter,69.0,61.0
2022-11-21,Mochila,74.0,188.0
2022-01-05,Bermuda,,413.0
2022-06-27,Casaco,,50.0
2022-07-28,Vestido,,320.0
2022-08-04,Camisa Listrada,38.0,493.0
2022-03-01,Blusa de Crochê,54.0,440.0
2022-04-17,Blusa Cropped,25.0,
2022-10-19,Anel,80.0,115.0
2022-11-07,Macacão Longo,,
2022-05-05,Vestido Transpassado,42.0,377.0
2022-11-25,Tênis,68.0,171.0
2022-07-28,Tênis,65.0,255.0
2022-07-12,Casaco,,77.0
2022-12-16,Saia Midi,74.0,325.0
2022-11-27,Casaco,,239.0
2022-05-03,Blusa de Alça,99.0,499.0
2022-05-01,Calça Social,5.0,242.0
2022-04-24,Saia de Couro,55.0,306.0
2022-03-08,Sapato,81.0,235.0
2022-08-13,Body,16.0,415.0
2022-10-20,Camisa Listrada,,
2022-09-07,Camiseta Básica,19.0,176.0
2022-06-01,Camiseta Básica,6.0,
2022-01-07,Vestido Tomara que Caia,51.0,
2022-03-29,Óculos,,64.0
2022-04-08,Blusa de Tricot,91.0,163.0
2022-02-18,Botas,64.0,389.0
2022-05-14,Boné,15.0,
2022-02-23,Camisa Manga Curta,,321.0
2022-01-06,Camisa Manga Curta,42.0,
2022-06-08,Camiseta Manga Longa,,352.0
2022-06-06,Blusa,46.0,50.0
2022-07-24,Camisa Jeans,26.0,
2022-04-11,Chinelo,36.0,365.0
2022-06-01,Macacão Longo,,
2022-11-28,Regata,,360.0
2022-01-08,Cachecol,,
2022-09-04,Gravata,,
2022-11-28,Pulseira,33.0,202.0
2022-09-23,Short Saia,90.0,252.0
2022-08-31,Vestido Chemise,74.0,224.0
2022-08-03,Vestido de Festa,,130.0
2022-12-08,Sapato Social,,
2022-02-17,Camisa Polo,,153.0
2022-04-07,Cinto,25.0,473.0
2022-10-04,Casaco,,290.0
2022-05-19,Calça Legging,87.0,336.0
2022-06-14,Vestido Longo,,90.0
2022-12-28,Vestido Curto,29.0,108.0
2022-06-30,Camiseta Estampada,54.0,228.0
2022-10-21,Camisa,47.0,
2022-06-21,Gravata,70.0,
2022-03-09,Blusa de Tricot,24.0,
2022-08-18,Moletom,65.0,408.0
2022-09-01,Casaco,,391.0
2022-12-29,Lenço,72.0,
2022-12-08,Blusa de Tricot,80.0,124.0
2022-06-11,Blusa de Tricot,37.0,173.0
2022-09-18,Brinco,83.0,310.0
2022-06-28,Cueca,,
2022-04-28,Calça Social,53.0,469.0
2022-08-18,Sandália Rasteira,72.0,445.0
2022-11-03,Vestido Transpassado,32.0,
2022-12-13,Anel,22.0,294.0
2022-10-14,Blusa de Alça,27.0,209.0
2022-02-08,Sapatilha,49.0,290.0
2022-12-14,Sapatênis,42.0,188.0
2022-05-03,Vestido com Fenda,42.0,133.0
2022-06-12,Calça Jeans,92.0,450.0
2022-03-19,Sapato de Salto,60.0,
2022-05-06,Vestido Tubinho,,105.0
2022-03-07,Camiseta,1.0,149.0
2022-03-12,Chinelo,42.0,
2022-09-13,Jaqueta,,71.0
2022-10-09,Anel,78.0,69.0
2022-09-01,Terno,17.0,237.0
2022-01-19,Calça Jeans,77.0,365.0
2022-07-22,Sapatênis,33.0,405.0
2022-03-05,Mochila,37.0,300.0
2022-05-17,Blusa Cropped,78.0,
2022-11-10,Sandália de Salto,35.0,185.0
2022-08-15,Calça Jeans,,407.0
2022-07-16,Mochila,92.0,319.0
2022-11-29,Vestido Curto,60.0,498.0
2022-05-21,Moletom,75.0,238.0
2022-09-16,Sapatênis,15.0,430.0
2022-01-19,Terno,67.0,
2022-01-31,Moletom,60.0,133.0
2022-02-14,Vestido Rodado,74.0,110.0
2022-12-24,Óculos,,231.0
2022-01-06,Blusa de Renda,91.0,125.0
2022-02-12,Vestido Longo,23.0,275.0
2022-04-30,Sapatênis,6.0,168.0
2022-08-14,Cueca,40.0,
2022-01-21,Macacão Longo,15.0,402.0
2022-02-24,Vestido Longo,78.0,435.0
2022-08-13,Mochila,56.0,
2022-08-16,Macacão Curto,,269.0
2022-03-09,Macacão Curto,27.0,421.0
2022-04-30,Chinelo,55.0,123.0
2022-09-30,Shorts,14.0,350.0
2022-01-31,Vestido Tubinho,19.0,418.0
2022-03-13,Blusa Manga Longa,93.0,83.0
2022-08-27,Casaco,55.0,425.0
2022-06-14,Camisa Manga Curta,47.0,219.0
2022-01-30,Sapato de Salto,14.0,66.0
2022-04-11,Vestido Curto,44.0,346.0
2022-07-01,Camiseta Estampada,91.0,269.0
2022-07-25,Vestido Chemise,43.0,157.0
2022-05-30,Sapato Social,43.0,
2022-11-20,Vestido Midi,,223.0
2022-05-01,Vestido,,
2022-07-11,Camiseta Estampada,,488.0
2022-09-07,Camisa Listrada,8.0,
2022-03-12,Boné,,181.0
2022-09-19,Pulseira,93.0,272.0
2022-09-05,Vestido com Fenda,,444.0
2022-11-29,Sapato Social,,262.0
2022-05-13,Camiseta Manga Longa,35.0,177.0
2022-12-23,Brinco,,461.0
2022-03-13,Vestido Midi,41.0,441.0
2022-01-10,Bermuda,76.0,
2022-01-20,Blusa de Frio,39.0,317.0
2022-06-18,Camisa Xadrez,2.0,250.0
2022-11-01,Blazer,71.0,386.0
2022-10-29,Vestido Chemise,59.0,289.0
2022-07-15,Vestido com Fenda,70.0,330.0
2022-06-09,Cueca,78.0,308.0
2022-01-11,Chinelo,,260.0
2022-05-31,Blusa,95.0,454.0
2022-02-17,Blusa Manga Longa,60.0,356.0
2022-01-25,Macacão,5.0,
2022-02-10,Boné,89.0,110.0
2022-01-31,Sapato de Salto,73.0,229.0
2022-12-30,Saia Longa,11.0,
2022-02-11,Chinelo,,
2022-07-30,Macacão Longo,16.0,377.0
2022-08-23,Jaqueta Jeans,67.0,374.0
2022-10-28,Blazer,49.0,495.0
2022-08-31,Macacão Longo,54.0,489.0
2022-09-07,Meia,54.0,369.0
2022-02-04,Vestido Tomara que Caia,71.0,85.0
2022-09-22,Mochila,40.0,425.0
2022-04-21,Sandália de Salto,,490.0
2022-10-27,Vestido Rodado,61.0,
2022-05-20,Camisa,,375.0
2022-06-19,Blusa de Alça,21.0,468.0
2022-01-05,Saia Jeans,51.0,166.0
2022-01-08,Botas,,71.0
2022-10-04,Calça Legging,3.0,
2022-01-17,Vestido,,498.0
